review,rating,date,bank,source
"A proudly Ethiopian innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers and sellers. Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants!",5,2025-04-21 15:33:37,DASHEN,Google Play
"Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants.",5,2025-04-21 15:22:02,DASHEN,Google Play
"Dashen Bank Super App is fast, reliable, and super easy to use. All my banking needs are handled smoothly in one place. Clean design and seamless experience – highly recommended!",5,2025-04-21 15:16:09,DASHEN,Google Play
"Db sup app is A platform or an application that can grasp more satisfactions through fastest mode of operation which means for budget planning, to use QR code(scan, pay, go) chat with staff, acc to acc other bank ft, merchant payment, and easly. I addition to i satisfied and i invite everyone to use those platform!!.",5,2025-04-21 15:13:09,DASHEN,Google Play
the chat banking and unique and only app that alow money request!!,5,2025-04-21 15:06:01,DASHEN,Google Play
Better and inclusive app!,5,2025-04-21 15:05:09,DASHEN,Google Play
Amazing Application,5,2025-04-21 14:51:09,DASHEN,Google Play
It keep my time to pay my bills and I generate my satment easily,5,2025-04-21 14:50:46,DASHEN,Google Play
"It's an amazing app that is up-to-date with the times, wow wow",5,2025-04-21 14:43:50,DASHEN,Google Play
A game-changing Ethiopian innovation—where shopping meets opportunity. The marketplace feature connects buyers and sellers like never before.,5,2025-04-21 14:43:02,DASHEN,Google Play
"Dashen Super App isn’t just an app — it’s an experience. Effortless, powerful, and built for the future",5,2025-04-21 14:40:20,DASHEN,Google Play
"This Is An Amazing App with Uniqe Quality,Easy And Fast Mobile Banking App.",5,2025-04-21 14:39:18,DASHEN,Google Play
"Dashen SuperApp is a lifesaver! Banking, shopping, and bills in one super easy app. The new e-commerce feature is awesome and supports local merchants. Fast, secure, and proudly Ethiopian.Download it now—you won’t regret it!",5,2025-04-21 14:31:02,DASHEN,Google Play
"Dashen SuperApp blends finance, shopping, and daily services effortlessly. The new e-commerce feature is smooth and supports local merchants—proud to back an Ethiopian-made solution!",5,2025-04-21 14:19:15,DASHEN,Google Play
"A solid step forward by Dashen Bank. The SuperApp combines essential banking features with lifestyle services, making everything accessible in one place. The interface is smooth, and transactions are quick and reliable. It’s clear a lot of thought went into the design and functionality. Great job!",5,2025-04-21 14:16:45,DASHEN,Google Play
Dashen bank super app is the crucial and convenient app in Ethiopia. there is no other app to compare with Dashen bank super app,5,2025-04-21 14:16:08,DASHEN,Google Play
"All-in-one finance & e-commerce super app! Pay, save, shop seamlessly. Fast, secure. #BankAndShop",5,2025-04-21 14:10:21,DASHEN,Google Play
it's a hestorical app. in the bank industry.,5,2025-04-21 14:07:42,DASHEN,Google Play
"A game changer in Ethiopian digital banking fast, secure, and packed with services. Everything you need, all in one powerful app. A true leap toward financial convenience and innovation!",4,2025-04-21 14:07:17,DASHEN,Google Play
"easy &,simple to use",5,2025-04-21 14:06:30,DASHEN,Google Play
"Banking, but make it smart. Local solutions, all in one place. Smooth, fast, and actually saving time. Feels like the future. Love it!",5,2025-04-21 13:59:53,DASHEN,Google Play
"All in one, that is it 👌",5,2025-04-21 13:52:42,DASHEN,Google Play
", Dashen Bank Supper App is multipurpose, convenient, very attractive and Make life easier",5,2025-04-21 13:50:32,DASHEN,Google Play
very easy and flexible app.,5,2025-04-21 13:48:44,DASHEN,Google Play
"I choose Dashen Bank Super Up since, it is easy to use & it has attractive features !",5,2025-04-21 13:44:50,DASHEN,Google Play
dashen super app is simple faster and reliable.,5,2025-04-21 13:38:06,DASHEN,Google Play
"Dashen Bank Super App is a game-changer! The user-friendly design, wide range of services, and smooth performance make it incredibly convenient for everyday banking. It’s fast, secure, and truly reflects the bank’s commitment to digital excellence. Highly recommended!",5,2025-04-21 13:23:07,DASHEN,Google Play
"The app keeps getting better with every update! Smooth performance, great UI, and top-notch security. Thank you for making banking so convenient!""",5,2025-04-21 13:17:43,DASHEN,Google Play
this app is the most simply to use and secure safe i love it to use for any bank transaction,5,2025-04-21 13:12:47,DASHEN,Google Play
"After i download the app recently had a smooth expriance, its user friendly, fast, and everything works as expected. keep up the good work.",5,2025-04-21 13:07:27,DASHEN,Google Play
An app with High performance and advanced features!,5,2025-04-21 13:07:14,DASHEN,Google Play
"It is a very user friendly, attractive user interface, full of useful features. I really encourage everyone to give it a try.",5,2025-04-21 12:57:15,DASHEN,Google Play
"Good actually , but it have to WORK when developer option is on 🙏",5,2025-04-21 12:49:32,DASHEN,Google Play
"All-in-one convenience, From managing accounts to paying bills and shopping online and the chat banking is game changer, this app does it all seamlessly.",5,2025-04-21 12:42:40,DASHEN,Google Play
I appreciate that Dashen Bank takes lifestyle services into account.,5,2025-04-21 12:36:34,DASHEN,Google Play
keep it up!,5,2025-04-21 12:36:01,DASHEN,Google Play
amazing app really i loved it .that's why we say dashen bank is one stap ahead. It's the best mobile application that should be on every phone.,5,2025-04-21 12:33:43,DASHEN,Google Play
very comfortable app keep it,5,2025-04-21 12:28:51,DASHEN,Google Play
it has clear detail information about the application so it helps customer how to use the app. and it is very easy to use and also app is secure.,5,2025-04-21 12:13:53,DASHEN,Google Play
"I have been using the Dashen Supper app mobile banking app , and overall, I appreciate its features.However,I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications . Thank you for your attention to this matter!",5,2025-04-21 12:08:17,DASHEN,Google Play
easiness to use with fast response time,5,2025-04-21 12:01:20,DASHEN,Google Play
"The new mobile banking application is a major upgrade! It’s incredibly user-friendly, with a clean and modern design that makes navigation simple and intuitive. I really appreciate how fast it loads and how smooth the overall experience is. All essential services like balance checks, transfers, and bill payments are eas y to find and use. The added security features give me peace of mind, and the app runs reliably without crashes or glitches. It’s clear a lot of thought went into the user experi",5,2025-04-21 11:52:02,DASHEN,Google Play
"As an Internal Customer, Dashen Bank SuperApp has greatly simplified my online banking experience. It's easy to use, allowing me to quickly check balances, transfer money and pay Bills. The app's advanced security features are highly secure, ensuring my data is well protected. The Three click, Chat Banking and IPS features have also given me a smarter experience. In deed Dashen Bank is always steping ahead!",5,2025-04-21 11:50:08,DASHEN,Google Play
"A truly impressive app — user-friendly and a game-changer in Ethiopian banking. The Dashen Super App stands out as one of the most innovative and convenient digital banking solutions in Ethiopia’s financial history. Smooth navigation, seamless features, and a wide range of services all in one place. Well done!",5,2025-04-21 11:50:00,DASHEN,Google Play
dashen bank super up has very fast and convenience and also it has contain more things on one app .I am very interesting to use dashen bank super up,5,2025-04-21 11:49:05,DASHEN,Google Play
